target_return,realized_expected_return,volatility,sharpe
0.018542797658888444,0.10973681023924899,0.05719418286869565,1.5689849166175434
0.028965063204049044,0.10973681023924899,0.05719418286869565,1.5689849166175434
0.039387328749209645,0.10973681023924899,0.05719418286869565,1.5689849166175434
0.04980959429437025,0.10973681023924899,0.05719418286869565,1.5689849166175434
0.060231859839530846,0.10973681023924899,0.05719418286869565,1.5689849166175434
0.07065412538469144,0.10973681023924899,0.05719418286869565,1.5689849166175434
0.08107639092985205,0.10973681023924899,0.05719418286869565,1.5689849166175434
0.09149865647501265,0.10973681023924899,0.05719418286869565,1.5689849166175434
0.10192092202017325,0.10973681023924899,0.05719418286869565,1.5689849166175434
0.11234318756533385,0.11234318756536553,0.05719780960234853,1.614453214333822
0.12276545311049444,0.1227654531105026,0.05728476504997349,1.7939403787525905
0.13318771865565504,0.13318771865564946,0.05748714500829194,1.9689222458224926
0.14360998420081567,0.14360998420082935,0.05780373713847073,2.1384427775788546
0.15403224974597626,0.15403224974596846,0.058232678656007786,2.3016672569318697
0.16445451529113686,0.1644545152911777,0.0587715096897472,2.4579003679461047
0.17487678083629746,0.17487678083628824,0.05941724068038582,2.606596655495894
0.18529904638145805,0.18529904638136868,0.06016642984385719,2.7473633853687134
0.19572131192661865,0.19572131192661762,0.06101526629069928,2.8799564864540024
0.20614357747177925,0.20614357747178724,0.061959654715564715,3.004270735954031
0.21656584301693985,0.21656584301691134,0.06299529788571089,3.120325637217092
0.22698810856210044,0.2269881085621097,0.06411777405161925,3.228248510241013
0.23741037410726107,0.2374103741072554,0.06532260706957908,3.3282562325731795
0.24783263965242167,0.24783263965239966,0.06660573521997373,3.4206159409539434
0.25825490519758226,0.2582549051975425,0.06796485904029022,3.50556020510986
0.2686771707427429,0.2686771707427578,0.069395822648113,3.583460232235172
0.27909943628790346,0.27909943628792033,0.07089427603277373,3.654729983675144
0.2895217018330641,0.28952170183312287,0.0724560320744643,3.719796601008054
0.29994396737822465,0.29994396737818996,0.07407708708006776,3.779089842930874
0.3103662329233853,0.31036623292335064,0.07575363432195097,3.8330336956416073
0.32078849846854585,0.3207884984684923,0.07748207168334216,3.882039960131302
0.33121076401370647,0.3312107640136397,0.07925900446136085,3.9265035705231
0.34163302955886704,0.34163302955883285,0.08108124432018911,3.966799378271834
0.35205529510402767,0.3520552951040464,0.08294580525502769,4.003280142776347
0.3624775606491883,0.3624775606492221,0.08484989731774438,4.036275487367041
0.37289982619434886,0.37289982619429274,0.0867909187462507,4.066091606036118
0.3833220917395095,0.38332209173943665,0.08876644701345997,4.0930115371672455
0.39374435728467005,0.39374435728489876,0.09077422922092516,4.117295850293418
0.4041666228298307,0.40416662282995486,0.0928121721647984,4.139183620741297
0.41458888837499125,0.4145888883756145,0.09487833638263224,4.158893414659883
0.4250111539201519,0.4250111539198939,0.09697104309779186,4.176619545192006
0.43543341946531244,0.43543341946524905,0.09908866913133267,4.192542125221515
0.44585568501047307,0.44585568501051254,0.10122965063125573,4.206827568355008
0.4562779505556337,0.4562779505638208,0.10339253672266335,4.219627106491043
0.46670021610079426,0.4667002161057948,0.10557598116262193,4.2310780462246305
0.4771224816459549,0.477122481645955,0.1077787345111669,4.241304963537058
0.48754474719111546,0.4875447471932696,0.10999963678801968,4.250420827245777
0.4979670127362761,0.4979670127362762,0.11223761062997971,4.258528046467578
0.5083892782814367,0.5083892782814367,0.11449165494665874,4.265719440503987
0.5188115438265973,0.5188115438256472,0.11676083902935917,4.272079131773133
0.5292338093717579,0.5292338093717579,0.11904429711379622,4.277683364243595
0.5396560749169185,0.5396560749169186,0.12134122335675115,4.282601250764513
0.550078340462079,0.55007834046189,0.1236508672111261,4.2868954534448545
0.5605006060072397,0.5605006060072643,0.1259725291656957,4.290622801550062
0.5709228715524003,0.5709228715519585,0.12830555682846478,4.2938348515061
0.5813451370975609,0.5813451370975392,0.13064934131847056,4.296578393986737
0.5917674026427214,0.5917674026427167,0.13300331397064996,4.298895911487509
0.6021896681878821,0.6021896681878821,0.13652604558412065,4.264312100281007
0.6126119337330427,0.6126119337330427,0.1433314306945939,4.134556746285199
0.6230341992782032,0.6230341992782034,0.15303799605223378,3.940421430194239
0.6334564648233639,0.6334564648233639,0.16513494104825388,3.714879848742045
